[0.5239781956283414] [0.7989796]
[0.49698126498533757] [0.7614286]
[0.4510977073591583] [0.7983673]
[0.4985356933000136] [0.7620408]
[0.39893955357220706] [0.8179592]
[0.4532250263253037] [0.7791837]
[0.38310507487277595] [0.82]
[0.4349181700725945] [0.81061226]
[0.39943858312100783] [0.802449]
[0.3576998978245015] [0.8379592]
[0.3829705271185661] [0.82816327]
[0.3468580835936021] [0.8453061]
[0.34985682368278503] [0.8430612]
[0.32553577605558903] [0.85142857]
[0.33308159331886134] [0.84612244]
[0.3267329371705347] [0.8512245]
[0.3371697320621841] [0.8469388]
[0.31364249149147344] [0.8565306]
[0.3177421238957619] [0.8528572]
[0.30654714849530434] [0.86326534]
[0.30318891515537183] [0.8620408]
[0.30132466372178524] [0.86306125]
[0.29462300301814565] [0.8689796]
[0.3091023591708164] [0.86142856]
[0.2844641500589799] [0.87122446]
[0.29058711899786577] [0.86938775]
[0.28845279192437934] [0.8685714]
[0.278741505681252] [0.87]
[0.2851772113722198] [0.86591834]
[0.27114085640226093] [0.8718367]
[0.27624909579753876] [0.87666667]
[0.26705336175402816] [0.8797959]
[0.2786010005036179] [0.87061226]
[0.27515907220694485] [0.87836736]
[0.2684553387213726] [0.8810204]
[0.2602786440022138] [0.8838776]
[0.25572408826983706] [0.8820408]
[0.260638710187406] [0.8802041]
[0.2577266677909968] [0.8816326]
[0.25641568157137656] [0.8887755]
[0.25660149813914784] [0.8767347]
[0.24469154829881629] [0.8844898]
[0.2558927943511885] [0.88673466]
[0.27261306710389194] [0.87836736]
[0.2416726843434937] [0.8897959]
[0.24341305269270527] [0.89040816]
[0.253178407164181] [0.8845098]
[0.24303474201231587] [0.89]
[0.238002282624342] [0.8910204]
[0.24563318278108323] [0.8855102]
[0.233492804120998] [0.8991837]
[0.2262549190496912] [0.89081633]
[0.25064624693928933] [0.8895918]
[0.2371427042751896] [0.8920408]
[0.24903228574869585] [0.8891837]
[0.23106123263738593] [0.89489794]
[0.22709421874309071] [0.8991837]
[0.23182564274388917] [0.8916327]
[0.22881752526273533] [0.8989796]
[0.22310592355776807] [0.89408165]
[0.23289630518240087] [0.8937255]
[0.22888380015382961] [0.8967347]
[0.2366661374666253] [0.8934694]
[0.22634837457111903] [0.89959186]
[0.22909454149859293] [0.90183675]
[0.22674683983228644] [0.8967347]
[0.22158354703260927] [0.90061224]
[0.2200933481965746] [0.8977551]
[0.22549390640794015] [0.9022449]
[0.2193878575855372] [0.89816326]
[0.22813356348446437] [0.90163267]
[0.2189171594016406] [0.9]
[0.2190700495729641] [0.9042857]
[0.21290362033308768] [0.9044898]
[0.21261797936595217] [0.90163267]
[0.21585366555622645] [0.904898]
[0.2176595017009852] [0.9032653]
[0.21964351285477074] [0.8997959]
[0.20992546391730404] [0.90183675]
[0.20868143378471843] [0.90183675]
[0.21574692397701498] [0.9044898]
[0.2172018009789136] [0.9012245]
[0.20984113581326544] [0.90836734]
[0.20344720385512527] [0.91367346]
[0.21354257573886792] [0.9055102]
[0.20221117108452077] [0.9071429]
[0.20528188651921797] [0.90755105]
[0.21140699058162923] [0.9087755]
[0.2066247040519909] [0.90755105]
[0.21542961135202524] [0.90244895]
[0.20205013818886816] [0.9110204]
[0.1975096707441369] [0.9134694]
[0.20073545648127186] [0.91183674]
[0.20111697060721262] [0.9114286]
[0.19844525231390583] [0.90959185]
[0.1982130864087273] [0.9082353]
[0.19878526119624867] [0.9117647]
[0.20195031409360925] [0.9110204]
[0.1851515068727381] [0.9164706]
[0.20639636352354165] [0.9067347]
[0.20274770655194108] [0.90734696]
[0.19091884822261576] [0.91510206]
[0.19909052246687364] [0.912449]
[0.19791146139709317] [0.90836734]
[0.18753916511730273] [0.91591835]
[0.18624897027502255] [0.9167347]
[0.19177949580611015] [0.914898]
[0.18690569440321048] [0.91163266]
[0.19023520910010047] [0.91387755]
[0.19207731740815298] [0.914898]
[0.1890973190263826] [0.91571426]
[0.19053051909621882] [0.9155102]
[0.18459798669328495] [0.9189796]
[0.19343027594138165] [0.91530615]
[0.182071219141386] [0.9187755]
[0.1933813033735051] [0.9152941]
[0.19455000149960422] [0.91530615]
[0.1859342471069219] [0.92489797]
[0.18426124599515176] [0.9183673]
[0.1840387035389336] [0.9169388]
[0.17741184940143506] [0.92183673]
[0.1706226811725266] [0.92510206]
[0.168615672053123] [0.9281633]
[0.1768341073576285] [0.92183673]
[0.17351151516242902] [0.92387754]
[0.17803209639933645] [0.9206122]
[0.18993043641046603] [0.9128571]
[0.19404964909261588] [0.9183673]
[0.18231718154514537] [0.9180392]
[0.18263726149286544] [0.9210204]
[0.1732589225379788] [0.9210204]
[0.17474244656611462] [0.922449]
[0.17762644376073564] [0.9202041]
[0.17095843109549308] [0.9204082]
[0.18634627151245975] [0.9177551]
[0.17787406505907283] [0.9154902]
[0.18368234287719337] [0.91979593]
[0.18071521027963988] [0.91938776]
[0.17837991823955457] [0.91938776]
[0.17171003730321416] [0.9167347]
[0.18482205667057816] [0.92530614]
[0.17472858179588707] [0.922449]
[0.18067461176186192] [0.9246939]
[0.17667878130260778] [0.92183673]
[0.1703897583849576] [0.92591834]
[0.16237501708828672] [0.9263265]
[0.16754699892857494] [0.92588234]
[0.1739049906633338] [0.92142856]
[0.17161830773158948] [0.9261224]
[0.1614592203072139] [0.9263265]
[0.16704358342958955] [0.92510206]
[0.16311937889882497] [0.9287755]
[0.16147451361223142] [0.9255102]
[0.16769662587081685] [0.92784315]
[0.16518379823893917] [0.9269388]
[0.17063431016036443] [0.9267347]
[0.16140845752492242] [0.9285714]
[0.15858914079714795] [0.9302041]
[0.17638192341035727] [0.9263265]
[0.16027491250816656] [0.9267347]
[0.1763099997627492] [0.9179592]
[0.1664770359591562] [0.9267347]
[0.16495083348483455] [0.9277551]
[0.16353124015185297] [0.9279592]
[0.15696217074077956] [0.932449]
[0.170024289008306] [0.92510206]
[0.15620319879784875] [0.9363265]
[0.16958618392141497] [0.9265306]
[0.17283189844112007] [0.9283674]
[0.16970660278991778] [0.9261224]
[0.16159404312469522] [0.9322449]
[0.17080489804550092] [0.92]
[0.155523844975598] [0.93510205]
