[0.15213746903464198] [0.9425]
[0.1567190287169069] [0.9415625]
[0.1589182624593377] [0.943125]
[0.15327688050456345] [0.9428125]
[0.15495931287296116] [0.9434375]
[0.15353589016012847] [0.94625]
[0.15373277897015214] [0.9446875]
[0.15645876550115645] [0.9459375]
[0.16211682953871787] [0.9428125]
[0.1590551391709596] [0.9428125]
[0.15103292162530124] [0.94625]
[0.14883414981886744] [0.9459375]
[0.14656192460097373] [0.9475]
[0.14366091368719935] [0.94875]
[0.143912821309641] [0.9490625]
[0.1476089023053646] [0.9478125]
[0.14410094916820526] [0.9440625]
[0.14919686689972878] [0.95]
[0.1424201869151809] [0.95363635]
[0.15502187819220126] [0.9421875]
[0.14508308959193528] [0.944375]
[0.14269161084666848] [0.94625]
[0.14813830074854195] [0.9428125]
[0.14110498246736825] [0.9471875]
[0.15014276653528214] [0.944375]
[0.1423898262437433] [0.9478125]
[0.13669284153729677] [0.9521875]
[0.14355365792289376] [0.9484375]
[0.1342736454680562] [0.9515625]
[0.14809819785031406] [0.9460606]
[0.1335519035346806] [0.9503125]
[0.1446749463211745] [0.9478125]
[0.12880520359613] [0.95375]
[0.13861619355157018] [0.9490625]
[0.1412963131442666] [0.94875]
[0.13425704441033304] [0.95125]
[0.13966017798520625] [0.9503125]
[0.14928644010797143] [0.946875]
[0.13910408969968557] [0.9490625]
[0.14001471712253988] [0.95]
[0.14115274115465581] [0.945]
[0.13172116328496486] [0.953125]
[0.12791333652355455] [0.9533333]
[0.13580156140960753] [0.94875]
[0.12878419691696763] [0.9546875]
[0.13923404878005385] [0.9475]
[0.13057202439416538] [0.9509091]
[0.14172172988764942] [0.9453125]
[0.12442697794176638] [0.955]
[0.13189481537450443] [0.9490909]
[0.13143071322701871] [0.95125]
[0.13511897420341318] [0.9521212]
[0.1286811565514654] [0.9496875]
[0.14787975745275617] [0.9465625]
[0.13027354058894244] [0.94848484]
[0.13051580299030652] [0.95484847]
[0.12627172865904868] [0.9553125]
[0.13138346001505852] [0.9525]
[0.13065698137506843] [0.95375]
[0.13353900746865707] [0.95151514]
