[0.2855851338668303] [0.8730303]
[0.28127454493920717] [0.8750412]
[0.2637776999810801] [0.8849324]
[0.2702924550228138] [0.88658094]
[0.2631603211282387] [0.89119685]
[0.2586781996441406] [0.8915265]
[0.25476603994088876] [0.8902077]
[0.2629228236944102] [0.88592154]
[0.25691701452644833] [0.88855916]
[0.2603120058774948] [0.8848485]
[0.2792551471058622] [0.87668973]
[0.2517729250218583] [0.8915265]
[0.2460459117454308] [0.8968018]
[0.2522156825316766] [0.88592154]
[0.24986862428817974] [0.8895483]
[0.24475955554863585] [0.89119685]
[0.24552530510135503] [0.8948236]
[0.24312290219123947] [0.8951533]
[0.23948246161025072] [0.8984504]
[0.2509110052024339] [0.8902077]
[0.25323955091241557] [0.88855916]
[0.23699187670864763] [0.8961424]
[0.25143244993733843] [0.89185625]
[0.2529405480293091] [0.88658094]
[0.2447232869108282] [0.8951533]
[0.23471688721642178] [0.90108806]
[0.2592250550742437] [0.8902077]
[0.24078239902898183] [0.8948236]
[0.24567978011866115] [0.8944939]
[0.22745927406288868] [0.9057039]
[0.23348022197049875] [0.895483]
[0.23541097799877975] [0.89713156]
[0.23726861043409866] [0.89272726]
[0.2300804146997535] [0.90273654]
[0.22178201001546502] [0.90174747]
[0.22551055252552032] [0.90181816]
[0.2213058239097765] [0.9096604]
[0.21905225892684815] [0.9050445]
[0.22572246367806378] [0.90603364]
[0.21900600647419308] [0.90207714]
[0.2139404239952859] [0.9096604]
[0.21195471627245316] [0.91130894]
[0.21515602660462127] [0.9076822]
[0.2332670414483158] [0.90141773]
[0.2169226306305441] [0.90933067]
[0.2186757677209837] [0.90867126]
[0.20260538965552072] [0.9122981]
[0.21588183345473957] [0.90801185]
[0.21578741630743803] [0.9063633]
[0.2048807617582742] [0.91262776]
[0.24524030316359446] [0.89251566]
[0.20901938266204678] [0.9096604]
[0.21417850839631847] [0.9047148]
[0.23220357127878244] [0.8984504]
[0.2222115080858904] [0.9070228]
[0.20701812828212063] [0.91064954]
[0.20422736433740893] [0.9142763]
[0.19918416590825033] [0.91526544]
[0.20447260875376466] [0.91526544]
[0.1919347485555032] [0.9195516]
[0.19671565179301298] [0.920211]
[0.20119654221421535] [0.9142763]
[0.19116645965920476] [0.92185956]
[0.20825788419984803] [0.91526544]
[0.20106709719765434] [0.91757333]
[0.20085940174721587] [0.9116386]
[0.19991947296347273] [0.9149357]
[0.19388831148161734] [0.91757333]
[0.18685673234724504] [0.920211]
[0.1917835148898038] [0.9221212]
[0.19040574510715363] [0.92251897]
[0.18905075970377577] [0.9254863]
[0.18953208026911927] [0.92120016]
[0.18108276085436167] [0.9254863]
[0.19476679187087464] [0.92120016]
[0.1969120408584291] [0.91790307]
[0.1885297225546884] [0.9238378]
[0.18521609738778644] [0.9244972]
[0.1866768798712571] [0.92120016]
[0.20191950192555239] [0.91592485]
