[0.16628370309500973] [0.93208045]
[0.16183680841288392] [0.93603694]
[0.16457788510756058] [0.9351515]
[0.1626463939687265] [0.9294428]
[0.16236001040885994] [0.9310913]
[0.16890415142882953] [0.9290909]
[0.1599326527112787] [0.9291131]
[0.15632447280527695] [0.94131225]
[0.16403843009978916] [0.93339926]
[0.170038110070837] [0.92878336]
[0.17430130777738687] [0.9304319]
[0.1437157053209318] [0.9409825]
[0.15746857318013877] [0.9376855]
[0.1634751097709088] [0.93076164]
[0.1556659197152899] [0.93537754]
[0.1459626461555177] [0.9363666]
[0.1506821648641066] [0.93242425]
[0.14862689499685247] [0.9383449]
[0.16199243272093708] [0.9343884]
[0.15220023107988545] [0.9363666]
[0.13875494854622378] [0.939334]
[0.14522963959786353] [0.94263107]
[0.1647994276559907] [0.93339926]
[0.14629822361820058] [0.93867457]
[0.15206826941785426] [0.937026]
[0.1519248418649981] [0.9383449]
[0.14596179854327446] [0.9409825]
[0.1445456493561157] [0.9432905]
[0.141131955706519] [0.94131225]
[0.15639326101653536] [0.93273985]
[0.14681540311679878] [0.9399934]
[0.1387625078124415] [0.9446093]
[0.1470865937858142] [0.9399934]
[0.14554589686124897] [0.9432905]
[0.13979012369519997] [0.9403231]
[0.14268696654503235] [0.94691724]
[0.1426540824532155] [0.9436202]
[0.1377078123781259] [0.9439499]
[0.1411151750387235] [0.94658756]
[0.1415642865156915] [0.9409825]
[0.14274052890896444] [0.944939]
[0.14225733530745427] [0.9383449]
[0.13764437649889114] [0.9459281]
[0.15777398004729953] [0.93537754]
[0.1277762014757503] [0.94848484]
[0.1414471218393771] [0.9436202]
[0.14168117125357413] [0.9403231]
[0.14059257748307388] [0.9416419]
[0.14509080998916418] [0.9396637]
[0.12959532577887134] [0.9518629]
[0.13855275701138198] [0.944939]
[0.13309111986327712] [0.94823605]
[0.13538408025907597] [0.94691724]
[0.13549471246382602] [0.9455984]
[0.13422386403518896] [0.94724697]
[0.12752955291939772] [0.950544]
[0.13293262579202889] [0.94724697]
[0.13302587191588094] [0.9452687]
[0.12600579900569425] [0.9479064]
[0.1306054348295385] [0.94545454]
[0.1331865049375389] [0.9459281]
[0.13053638770306736] [0.9479064]
[0.12658201398292943] [0.94724697]
[0.12871482024111155] [0.9462578]
[0.13384724167404968] [0.94823605]
[0.12613727046226536] [0.9452687]
[0.11629711434937844] [0.9498846]
[0.12420545443229222] [0.9452687]
[0.12872900610620325] [0.9460606]
[0.13206234669384687] [0.94757664]
[0.1317541158797715] [0.9479064]
[0.13712859684352705] [0.94296074]
[0.12744512928522658] [0.94691724]
[0.12176152465369416] [0.9498846]
[0.12119238318656189] [0.9498846]
[0.1333160298543915] [0.9452687]
[0.12796051163524833] [0.94757664]
[0.12739320154625158] [0.9459281]
[0.12796684732599853] [0.9498846]
[0.12430815305837184] [0.9492252]
[0.12232556896381869] [0.95285195]
[0.11816081996458103] [0.9512034]
[0.1250964758657914] [0.9485658]
[0.11801961056969168] [0.9538411]
[0.12153569067066367] [0.9521212]
[0.12193390234022537] [0.9459281]
[0.13480551272601213] [0.9452687]
[0.13034837549270437] [0.9446093]
[0.11713611334562302] [0.9521212]
[0.11641723524067923] [0.9512034]
[0.11400847791387349] [0.95285195]
[0.11611215043241853] [0.9531817]
[0.11078689784607477] [0.95614904]
[0.11719603149697523] [0.95153314]
[0.11634943774292424] [0.9525223]
[0.11474016625673669] [0.95153314]
