[0.7423276586419397] [0.5473129]
[0.7345439630729155] [0.5670953]
[0.7575945474884727] [0.5609091]
[0.615305222755134] [0.6485328]
[0.6547298791028862] [0.6679855]
[0.5578364991646492] [0.71909]
[0.6366163492202759] [0.6969697]
[0.5163049299922117] [0.75733596]
[0.4759869953409265] [0.7837125]
[0.6404305020850207] [0.6930432]
[0.5008516176180406] [0.75636363]
[0.47407783884794613] [0.7889878]
[0.46910569705548083] [0.77217275]
[0.4814792966689365] [0.76195186]
[0.46923286329980657] [0.7682163]
[0.5502497453894742] [0.7434883]
[0.4391707392109136] [0.79558194]
[0.4148691252065577] [0.818002]
[0.4303492442082934] [0.8034949]
[0.3851496189626341] [0.83613586]
[0.5014186249170766] [0.75667655]
[0.3751852130029133] [0.83217937]
[0.396300590533531] [0.8278932]
[0.3700278096276858] [0.8331685]
[0.3959424968525163] [0.8259149]
[0.35379414836683565] [0.8480053]
[0.3591851954054526] [0.84174085]
[0.41461522283233354] [0.8087702]
[0.34885221466230476] [0.84833497]
[0.37367891460568686] [0.84108144]
[0.34997040932421397] [0.85624796]
[0.3243250520540628] [0.8644906]
[0.3683326255261132] [0.8433894]
[0.35593748652734575] [0.846027]
[0.33518524115682236] [0.8496538]
[0.32481253323993625] [0.86317176]
[0.3196003193205053] [0.86121213]
[0.3172086686573915] [0.8608638]
[0.3151141734080782] [0.8648203]
[0.31626735080833135] [0.8621827]
[0.3088560589579045] [0.86317176]
[0.30633086237308416] [0.87108475]
[0.3026831059852057] [0.8687768]
[0.3202803514220498] [0.8660606]
[0.2965555638074875] [0.8751515]
[0.3062204503105137] [0.8691065]
[0.29108158036933807] [0.87701946]
[0.2940180149559451] [0.87734914]
[0.3026588525250923] [0.8714144]
[0.2902581193562667] [0.88196504]
[0.28845368016190626] [0.8829542]
[0.28242274205007845] [0.88658094]
[0.2909794266747438] [0.8776789]
[0.28146893216405733] [0.88328385]
[0.28254469595370496] [0.8809759]
[0.28277224946387564] [0.87701946]
[0.2811470476857043] [0.884273]
[0.27533705454433943] [0.8902077]
[0.28092545671821467] [0.87701946]
[0.29082431964775224] [0.87042534]
[0.27965671534472236] [0.88262445]
[0.27055138193299344] [0.88855916]
[0.26693669315261725] [0.89119685]
[0.2682724084215042] [0.89119685]
[0.2545056902867043] [0.8921859]
[0.2777775357137448] [0.8793274]
[0.26162740738526297] [0.88658094]
[0.25412167005911546] [0.8938345]
[0.2688540633543073] [0.8875701]
[0.2555909116159786] [0.89666665]
[0.259518367954107] [0.89185625]
[0.26900061546400206] [0.88592154]
[0.25398123677005635] [0.8987801]
[0.2555185683756978] [0.8951533]
[0.24517227115310383] [0.89779097]
[0.2553485045476672] [0.88987803]
[0.24770006740836079] [0.8948236]
[0.2274835831628473] [0.90174747]
[0.24165110173612156] [0.90273654]
[0.22996062358692068] [0.90603364]
[0.24192698039003932] [0.89647216]
[0.24466300373261335] [0.8941642]
[0.23857832065498794] [0.90141773]
[0.2454778795892542] [0.90484846]
[0.23532737385142932] [0.90636367]
[0.23686786777128924] [0.90207714]
[0.24728908871036137] [0.8928454]
[0.23094691821069085] [0.8981207]
[0.2403010460967244] [0.9043851]
[0.22816721111919241] [0.9047148]
[0.23879986053163355] [0.9012121]
[0.24739947163386586] [0.89251566]
[0.23764073984189468] [0.9015151]
[0.22837377039662218] [0.90669304]
[0.22391945543734892] [0.91064954]
[0.22803824156905966] [0.9096604]
[0.22811738322797562] [0.90174747]
[0.2235069301995364] [0.9060606]
[0.22730029118638836] [0.9057039]
[0.21858624301843427] [0.9142763]
[0.23876084965072447] [0.9024069]
[0.21711367386384958] [0.9109792]
[0.22397229449803233] [0.90801185]
[0.22059414356681642] [0.90339595]
[0.21930689990343608] [0.90933067]
[0.21834207247319962] [0.9109792]
[0.2120773192977811] [0.9129575]
